Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC2423,OCl,07:37:06.73,-13:52:17.4,Pup,11.7,,6.7,,,,,NGC,2423,NGC 2423,,,2423,NGC,NGC 2423,NGC 2423,NGC 2423,2423,OC,,6,07:37:06,-12.13,19.0,19.0,,,2423,NGC 2423,True,large_dso
NGC2437,OCl,07:41:46.82,-14:48:36.0,Pup,21.0,,6.1,46,,,,M,2437,M 46,,,46,Messier,M 046,M 46,M 46,2437,Oc,,6,07:01:48,-14.82,27.0,27.0,,,2437,NGC 2437,True,large_dso
NGC2447,OCl,07:44:29.23,-23:51:11.1,Pup,15.0,,6.2,93,,,,M,2447,M 93,,,93,Messier,M 093,M 93,M 93,2447,Oc,,6,07:04:36,-23.87,22.0,22.0,,,2447,NGC 2447,True,large_dso
NGC2451,OCl,07:45:15.01,-37:58:02.8,Pup,37.5,,9.5,,,,,NGC,2451,NGC 2451,,,2451,NGC,NGC 2451,NGC 2451,NGC 2451,2451,OC,,2,07:45:24,-36.03,45.0,45.0,,,2451,NGC 2451,True,large_dso
NGC2477,OCl,07:52:09.78,-38:31:59.7,Pup,18.6,,5.8,,,,,NGC,2477,NGC 2477,,,2477,Caldwell,C 071,C 71,C 71,2477,Oc,,5.8,07:52:18,-38.55,27.0,27.0,,,2477,NGC 2477,True,large_dso
NGC2516,OCl,07:58:07.06,-60:45:12.5,Car,24.3,,3.8,,,,,NGC,2516,NGC 2516,,,2516,Caldwell,C 096,C 96,C 96,2516,Oc,,3.8,07:58:18,-60.87,30.0,30.0,,,2516,NGC 2516,True,large_dso
NGC2520,OCl,08:04:58.18,-28:08:48.0,Pup,9.3,,6.5,,2527,,,NGC,2520,NGC 2520,,,2520,NGC,NGC 2527,NGC 2520,NGC 2527,2520,OC,,6,08:05:18,-27.83,22.0,22.0,,,2520,NGC 2520,True,large_dso
NGC2539,OCl,08:10:36.98,-12:49:14.4,Pup,12.3,,6.5,,,,,NGC,2539,NGC 2539,,,2539,NGC,NGC 2539,NGC 2539,NGC 2539,2539,OC,,6,08:10:42,-11.17,22.0,22.0,,,2539,NGC 2539,True,large_dso
NGC2546,OCl,08:12:15.63,-37:35:39.5,Pup,16.5,,6.3,,,,,NGC,2546,NGC 2546,,,2546,NGC,NGC 2546,NGC 2546,NGC 2546,2546,OC,,6,08:12:24,-36.37,41.0,41.0,,,2546,NGC 2546,True,large_dso
NGC2547,OCl,08:10:09.49,-49:12:20.4,Vel,7.8,,4.7,,,,,NGC,2547,NGC 2547,,,2547,NGC,NGC 2547,NGC 2547,NGC 2547,2547,OC,,4,08:10:42,-48.73,20.0,20.0,,,2547,NGC 2547,True,large_dso
